neighbourhood_cleansed,latitude,longitude,estimated_occupancy_l365d,room_type,property_type,accommodates,bedrooms,bathrooms,number_of_reviews,reviews_per_month,number_of_reviews_ltm,review_scores_rating,review_scores_value,review_scores_location,availability_365,host_is_superhost,amenities,id,amenities_list,amenity_count,has_full_kitchen,has_laundry,has_parking,has_self_checkin,has_workspace,has_air_conditioning,has_outdoor_space,has_family_friendly,has_premium_leisure,has_view_or_water_access,allows_pets,has_entertainment,property_type_grouped
SECOND WARD,42.64489,-73.75731,26,Entire home/apt,Entire rental unit,2,1.0,1.0,11,0.25,1,5.0,5.0,4.09,358,f,"[""Smoke alarm"", ""Kitchen"", ""Hot water"", ""Dryer"", ""TV"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Host greets you"", ""Dedicated workspace"", ""Heating"", ""Washer"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Air conditioning"", ""Essentials"", ""Free parking on premises"", ""Hangers"", ""Fast wifi \u2013 478 Mbps""]",619695112394148331,"['Smoke alarm', 'Kitchen', 'Hot water', 'Dryer', 'TV', 'Carbon monoxide alarm', 'Cooking basics', 'Iron', 'Host greets you', 'Dedicated workspace', 'Heating', 'Washer', 'Long term stays allowed', 'Exterior security cameras on property', 'Air conditioning', 'Essentials', 'Free parking on premises', 'Hangers', 'Fast wifi – 478 Mbps']",19,1,1,1,0,1,1,0,0,0,0,0,1,Entire place
FOURTEENTH WARD,42.66762,-73.79919,18,Entire home/apt,Entire home,12,4.0,3.5,18,0.41,3,4.94,4.89,4.89,288,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Private patio or balcony"", ""Private hot tub"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Fire pit"", ""Outdoor dining area"", ""Pool view"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bluetooth sound system"", ""Pool table"", ""Bathtub"", ""Cooking basics"", ""Ceiling fan"", ""Shampoo"", ""Iron"", ""Outdoor shower"", ""Central air conditioning"", ""Hot water kettle"", ""Dedicated workspace"", ""Microwave"", ""Wine glasses"", ""Stainless steel oven"", ""Rad body soap"", ""Hammock"", ""Smart lock"", ""Extra pillows and blankets"", ""Pets allowed"", ""BBQ grill"", ""Radiant heating"", ""Portable fans"", ""Noise decibel monitors on property"", ""Exterior security cameras on property"", ""Essentials"", ""Coffee"", ""Outdoor furniture"", ""Private outdoor pool - available seasonally, open 24 hours, heated"", ""Books and reading material"", ""Clothing storage: closet"", ""Free parking on premises"", ""Dishes and silverware"", ""Crib"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Free washer \u2013 In building"", ""Self check-in"", ""Coffee maker: drip coffee maker"", ""Head and Shoulders conditioner"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""Cleaning products"", ""Board games"", ""Indoor fireplace: gas"", ""65 inch HDTV with Amazon Prime Video""]",621960198566758900,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Private patio or balcony', 'Private hot tub', 'Wifi', 'Hot water', 'Hair dryer', 'Fire pit', 'Outdoor dining area', 'Pool view', 'Mini fridge', 'Carbon monoxide alarm', 'Bed linens', 'Bluetooth sound system', 'Pool table', 'Bathtub', 'Cooking basics', 'Ceiling fan', 'Shampoo', 'Iron', 'Outdoor shower', 'Central air conditioning', 'Hot water kettle', 'Dedicated workspace', 'Microwave', 'Wine glasses', 'Stainless steel oven', 'Rad body soap', 'Hammock', 'Smart lock', 'Extra pillows and blankets', 'Pets allowed', 'BBQ grill', 'Radiant heating', 'Portable fans', 'Noise decibel monitors on property', 'Exterior security cameras on property', 'Essentials', 'Coffee', 'Outdoor furniture', 'Private outdoor pool - available seasonally, open 24 hours, heated', 'Books and reading material', 'Clothing storage: closet', 'Free parking on premises', 'Dishes and silverware', 'Crib', 'Hangers', 'Refrigerator', 'Blender', 'Free washer – In building', 'Self check-in', 'Coffee maker: drip coffee maker', 'Head and Shoulders conditioner', 'Fire extinguisher', 'Free dryer – In unit', 'Private backyard – Fully fenced', 'Cleaning products', 'Board games', 'Indoor fireplace: gas', '65 inch HDTV with Amazon Prime Video']",61,1,1,1,1,1,1,1,1,1,1,1,1,Entire place
SECOND WARD,42.64528,-73.75861,66,Entire home/apt,Entire rental unit,2,1.0,1.0,64,1.42,11,4.75,4.61,4.55,302,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""Dryer"", ""TV"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Coffee maker: Keurig coffee machine"", ""Clothing storage"", ""Heating"", ""Washer"", ""Rice maker"", ""Pets allowed"", ""Long term stays allowed"", ""Oven"", ""Backyard"", ""Patio or balcony"", ""Air conditioning"", ""Essentials"", ""Coffee"", ""Laundromat nearby"", ""Outdoor furniture"", ""First aid kit"", ""Conditioner"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Lockbox"", ""Fire extinguisher"", ""Cleaning products"", ""Stove""]",628163387057233327,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Hot water', 'Private entrance', 'Hair dryer', 'Body soap', 'Dryer', 'TV', 'Carbon monoxide alarm', 'Luggage dropoff allowed', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Coffee maker: Keurig coffee machine', 'Clothing storage', 'Heating', 'Washer', 'Rice maker', 'Pets allowed', 'Long term stays allowed', 'Oven', 'Backyard', 'Patio or balcony', 'Air conditioning', 'Essentials', 'Coffee', 'Laundromat nearby', 'Outdoor furniture', 'First aid kit', 'Conditioner', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Free street parking', 'Lockbox', 'Fire extinguisher', 'Cleaning products', 'Stove']",47,1,1,1,1,1,1,1,0,0,0,1,1,Entire place
THIRD WARD,42.66169974831227,-73.76466827605744,0,Private room,Private room in rental unit,1,2.0,1.0,0,,0,,,,88,f,"[""Smoke alarm"", ""Kitchen"", ""Long term stays allowed"", ""Free street parking"", ""Exterior security cameras on property"", ""Air conditioning"", ""Ethernet connection"", ""Noise decibel monitors on property"", ""Hotpoint oven"", ""Lockbox"", ""Wifi"", ""Hotpoint gas stove"", ""Central heating"", ""Carbon monoxide alarm"", ""Hotpoint refrigerator"", ""Pets allowed"", ""Self check-in""]",628824127129967353,"['Smoke alarm', 'Kitchen', 'Long term stays allowed', 'Free street parking', 'Exterior security cameras on property', 'Air conditioning', 'Ethernet connection', 'Noise decibel monitors on property', 'Hotpoint oven', 'Lockbox', 'Wifi', 'Hotpoint gas stove', 'Central heating', 'Carbon monoxide alarm', 'Hotpoint refrigerator', 'Pets allowed', 'Self check-in']",17,1,0,1,1,1,1,0,0,0,0,1,0,Private room
SECOND WARD,42.645351,-73.753647,0,Entire home/apt,Entire rental unit,4,1.0,1.0,10,0.22,0,3.7,4.1,3.6,365,f,"[""TRESemm\u00e9 shampoo"", ""Smoke alarm"", ""Kitchen"", ""Indoor fireplace: electric"", ""Kenmore refrigerator"", ""Clothing storage: closet and dresser"", ""Shower gel"", ""Hot water"", ""Wifi \u2013 36 Mbps"", ""Hair dryer"", ""Private entrance"", ""Coffee maker: french press"", ""Carbon monoxide alarm"", ""Bed linens"", ""Pack \u2019n play/Travel crib - available upon request"", ""Bathtub"", ""Cooking basics"", ""Baking sheet"", ""Iron"", ""Room-darkening shades"", ""Hot water kettle"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Paid street parking off premises"", ""Extra pillows and blankets"", ""Oven"", ""Exterior security cameras on property"", ""Air conditioning"", ""Toaster"", ""Essentials"", ""Coffee"", ""Laundromat nearby"", ""HDTV with Amazon Prime Video, Hulu, Netflix, Roku"", ""First aid kit"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Blender"", ""Self check-in"", ""Babysitter recommendations"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Cleaning products"", ""TRESemm\u00e9 conditioner"", ""Keypad"", ""Bidet"", ""Stove"", ""Dial body soap"", ""Private backyard""]",638900897313146306,"['TRESemmé shampoo', 'Smoke alarm', 'Kitchen', 'Indoor fireplace: electric', 'Kenmore refrigerator', 'Clothing storage: closet and dresser', 'Shower gel', 'Hot water', 'Wifi – 36 Mbps', 'Hair dryer', 'Private entrance', 'Coffee maker: french press', 'Carbon monoxide alarm', 'Bed linens', 'Pack ’n play/Travel crib - available upon request', 'Bathtub', 'Cooking basics', 'Baking sheet', 'Iron', 'Room-darkening shades', 'Hot water kettle', 'Dedicated workspace', 'Microwave', 'Dining table', 'Heating', 'Paid street parking off premises', 'Extra pillows and blankets', 'Oven', 'Exterior security cameras on property', 'Air conditioning', 'Toaster', 'Essentials', 'Coffee', 'Laundromat nearby', 'HDTV with Amazon Prime Video, Hulu, Netflix, Roku', 'First aid kit', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Blender', 'Self check-in', 'Babysitter recommendations', 'Freezer', 'Free street parking', 'Fire extinguisher', 'Cleaning products', 'TRESemmé conditioner', 'Keypad', 'Bidet', 'Stove', 'Dial body soap', 'Private backyard']",52,1,1,1,1,1,1,1,1,0,0,0,1,Entire place
SECOND WARD,42.64625,-73.75663,0,Entire home/apt,Entire rental unit,2,0.0,1.0,8,0.19,0,4.75,4.63,4.5,58,f,"[""Smoke alarm"", ""Kitchen"", ""Hot water"", ""Dryer"", ""TV"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Host greets you"", ""Dedicated workspace"", ""Heating"", ""Washer"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Air conditioning"", ""Essentials"", ""Free parking on premises"", ""Fast wifi \u2013 453 Mbps"", ""Hangers""]",649973892551492641,"['Smoke alarm', 'Kitchen', 'Hot water', 'Dryer', 'TV', 'Carbon monoxide alarm', 'Cooking basics', 'Iron', 'Host greets you', 'Dedicated workspace', 'Heating', 'Washer', 'Long term stays allowed', 'Exterior security cameras on property', 'Air conditioning', 'Essentials', 'Free parking on premises', 'Fast wifi – 453 Mbps', 'Hangers']",19,1,1,1,0,1,1,0,0,0,0,0,1,Entire place
FIRST WARD,42.6374547,-73.7716647,0,Entire home/apt,Entire home,4,4.0,1.0,5,0.11,0,5.0,5.0,5.0,301,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Housekeeping - available at extra cost"", ""Private patio or balcony"", ""Portable air conditioning"", ""Frigidaire  refrigerator"", ""Wifi"", ""Frigidaire electric range  oven"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""Outdoor dining area"", ""Dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Ceiling fan"", ""Iron"", ""Hot water kettle"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Washer"", ""Smart lock"", ""Extra pillows and blankets"", ""Amana stove"", ""Long term stays allowed"", ""Radiant heating"", ""Exterior security cameras on property"", ""Toaster"", ""Essentials"", ""Laundromat nearby"", ""Outdoor furniture"", ""First aid kit"", ""Free parking on premises"", ""Window AC unit"", ""Dishes and silverware"", ""Crib"", ""Hangers"", ""Blender"", ""Self check-in"", ""Coffee maker: drip coffee maker"", ""Free street parking"", ""Fire extinguisher"", ""Private backyard \u2013 Fully fenced"", ""Cleaning products"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Board games"", ""Mosquito net""]",658638185191740358,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Housekeeping - available at extra cost', 'Private patio or balcony', 'Portable air conditioning', 'Frigidaire  refrigerator', 'Wifi', 'Frigidaire electric range  oven', 'Hot water', 'Private entrance', 'Hair dryer', 'Outdoor dining area', 'Dryer', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Luggage dropoff allowed', 'Cooking basics', 'Ceiling fan', 'Iron', 'Hot water kettle', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Dining table', 'Washer', 'Smart lock', 'Extra pillows and blankets', 'Amana stove', 'Long term stays allowed', 'Radiant heating', 'Exterior security cameras on property', 'Toaster', 'Essentials', 'Laundromat nearby', 'Outdoor furniture', 'First aid kit', 'Free parking on premises', 'Window AC unit', 'Dishes and silverware', 'Crib', 'Hangers', 'Blender', 'Self check-in', 'Coffee maker: drip coffee maker', 'Free street parking', 'Fire extinguisher', 'Private backyard – Fully fenced', 'Cleaning products', 'Clothing storage: walk-in closet, closet, and dresser', 'Board games', 'Mosquito net']",53,1,1,1,1,1,1,1,1,0,0,0,1,Entire place
FIRST WARD,42.6378819,-73.7715269,0,Entire home/apt,Entire home,4,4.0,,2,0.05,0,5.0,5.0,5.0,259,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Private patio or balcony"", ""Clothing storage: closet and dresser"", ""Portable air conditioning"", ""Wifi"", ""Frigidaire  refrigerator"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""GE oven"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Bathtub"", ""Cooking basics"", ""Ceiling fan"", ""Iron"", ""Baking sheet"", ""Room-darkening shades"", ""Hot water kettle"", ""Free dryer \u2013 In building"", ""Dedicated workspace"", ""Microwave"", ""Wine glasses"", ""Dining table"", ""Exercise equipment"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Radiant heating"", ""Portable fans"", ""Drying rack for clothing"", ""Exterior security cameras on property"", ""Toaster"", ""Essentials"", ""Coffee"", ""Laundromat nearby"", ""Books and reading material"", ""First aid kit"", ""Barbecue utensils"", ""Free parking on premises"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""40 inch TV with Amazon Prime Video, Netflix, Roku, Fire TV"", ""Blender"", ""Free washer \u2013 In building"", ""Self check-in"", ""Freezer"", ""Coffee maker: drip coffee maker"", ""Free street parking"", ""GE conditioner"", ""Lockbox"", ""Fire extinguisher"", ""Frigidaire  stove"", ""Cleaning products"", ""Board games""]",662132809952482192,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Private patio or balcony', 'Clothing storage: closet and dresser', 'Portable air conditioning', 'Wifi', 'Frigidaire  refrigerator', 'Hot water', 'Private entrance', 'Hair dryer', 'Body soap', 'GE oven', 'Carbon monoxide alarm', 'Bed linens', 'Luggage dropoff allowed', 'Bathtub', 'Cooking basics', 'Ceiling fan', 'Iron', 'Baking sheet', 'Room-darkening shades', 'Hot water kettle', 'Free dryer – In building', 'Dedicated workspace', 'Microwave', 'Wine glasses', 'Dining table', 'Exercise equipment', 'Extra pillows and blankets', 'Long term stays allowed', 'Radiant heating', 'Portable fans', 'Drying rack for clothing', 'Exterior security cameras on property', 'Toaster', 'Essentials', 'Coffee', 'Laundromat nearby', 'Books and reading material', 'First aid kit', 'Barbecue utensils', 'Free parking on premises', 'Window AC unit', 'Dishes and silverware', 'Hangers', '40 inch TV with Amazon Prime Video, Netflix, Roku, Fire TV', 'Blender', 'Free washer – In building', 'Self check-in', 'Freezer', 'Coffee maker: drip coffee maker', 'Free street parking', 'GE conditioner', 'Lockbox', 'Fire extinguisher', 'Frigidaire  stove', 'Cleaning products', 'Board games']",59,1,1,1,1,1,1,1,0,1,0,0,1,Entire place
FOURTEENTH WARD,42.66758,-73.7992,210,Private room,Private room in home,2,1.0,1.5,161,3.68,35,4.98,4.96,4.96,11,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""Fire pit"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""32 inch HDTV with Amazon Prime Video"", ""Bed linens"", ""Pack \u2019n play/Travel crib - available upon request"", ""Pool table"", ""Shared pool"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Baking sheet"", ""Shampoo"", ""Iron"", ""Outdoor shower"", ""Central air conditioning"", ""Free dryer \u2013 In building"", ""Dedicated workspace"", ""Microwave"", ""Hot water kettle"", ""Wine glasses"", ""Beach essentials"", ""Dining table"", ""Heating"", ""Hammock"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""BBQ grill"", ""Portable fans"", ""Noise decibel monitors on property"", ""Exterior security cameras on property"", ""Essentials"", ""Lock on bedroom door"", ""Coffee"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Books and reading material"", ""Shared hot tub"", ""Barbecue utensils"", ""Free parking on premises"", ""Dishes and silverware"", ""Crib"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Free washer \u2013 In building"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Cleaning products"", ""Keypad"", ""Board games"", ""Indoor fireplace: gas"", ""Stove"", ""Shared backyard \u2013 Fully fenced""]",668608096674070882,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Hot water', 'Coffee maker', 'Hair dryer', 'Body soap', 'Fire pit', 'Outdoor dining area', 'Carbon monoxide alarm', '32 inch HDTV with Amazon Prime Video', 'Bed linens', 'Pack ’n play/Travel crib - available upon request', 'Pool table', 'Shared pool', 'Cooking basics', 'Luggage dropoff allowed', 'Baking sheet', 'Shampoo', 'Iron', 'Outdoor shower', 'Central air conditioning', 'Free dryer – In building', 'Dedicated workspace', 'Microwave', 'Hot water kettle', 'Wine glasses', 'Beach essentials', 'Dining table', 'Heating', 'Hammock', 'Extra pillows and blankets', 'Long term stays allowed', 'Oven', 'BBQ grill', 'Portable fans', 'Noise decibel monitors on property', 'Exterior security cameras on property', 'Essentials', 'Lock on bedroom door', 'Coffee', 'Shared patio or balcony', 'Outdoor furniture', 'Books and reading material', 'Shared hot tub', 'Barbecue utensils', 'Free parking on premises', 'Dishes and silverware', 'Crib', 'Hangers', 'Refrigerator', 'Blender', 'Free washer – In building', 'Self check-in', 'Freezer', 'Free street parking', 'Fire extinguisher', 'Cleaning products', 'Keypad', 'Board games', 'Indoor fireplace: gas', 'Stove', 'Shared backyard – Fully fenced']",64,1,1,1,1,1,1,1,1,1,0,0,1,Private room
FOURTEENTH WARD,42.66764,-73.79908,216,Private room,Private room in home,2,1.0,1.5,138,3.17,36,4.94,4.93,4.97,14,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wolf stove"", ""Clothing storage: closet and dresser"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Hair dryer"", ""Body soap"", ""Fire pit"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Pool table"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Iron"", ""Outdoor shower"", ""Room-darkening shades"", ""Central air conditioning"", ""Dedicated workspace"", ""Microwave"", ""Hot water kettle"", ""Wine glasses"", ""Dining table"", ""Hammock"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""BBQ grill"", ""Radiant heating"", ""Noise decibel monitors on property"", ""Exterior security cameras on property"", ""Toaster"", ""Essentials"", ""Lock on bedroom door"", ""Coffee"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Books and reading material"", ""Pack \u2019n play/Travel crib"", ""Shared hot tub"", ""Barbecue utensils"", ""52 inch HDTV with Amazon Prime Video"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Crib"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Free parking on premises"", ""Self check-in"", ""Freezer"", ""Coffee maker: drip coffee maker"", ""Free street parking"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Cleaning products"", ""Keypad"", ""Board games"", ""Indoor fireplace: gas"", ""Shared pool - available seasonally"", ""Shared backyard \u2013 Fully fenced"", ""Private living room""]",668608486588067880,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wolf stove', 'Clothing storage: closet and dresser', 'Wifi', 'Shower gel', 'Hot water', 'Hair dryer', 'Body soap', 'Fire pit', 'Outdoor dining area', 'Carbon monoxide alarm', 'Bed linens', 'Luggage dropoff allowed', 'Pool table', 'Cooking basics', 'Baking sheet', 'Shampoo', 'Iron', 'Outdoor shower', 'Room-darkening shades', 'Central air conditioning', 'Dedicated workspace', 'Microwave', 'Hot water kettle', 'Wine glasses', 'Dining table', 'Hammock', 'Extra pillows and blankets', 'Long term stays allowed', 'Oven', 'BBQ grill', 'Radiant heating', 'Noise decibel monitors on property', 'Exterior security cameras on property', 'Toaster', 'Essentials', 'Lock on bedroom door', 'Coffee', 'Shared patio or balcony', 'Outdoor furniture', 'Books and reading material', 'Pack ’n play/Travel crib', 'Shared hot tub', 'Barbecue utensils', '52 inch HDTV with Amazon Prime Video', 'Free washer – In unit', 'Dishes and silverware', 'Crib', 'Hangers', 'Refrigerator', 'Blender', 'Free parking on premises', 'Self check-in', 'Freezer', 'Coffee maker: drip coffee maker', 'Free street parking', 'Fire extinguisher', 'Free dryer – In unit', 'Cleaning products', 'Keypad', 'Board games', 'Indoor fireplace: gas', 'Shared pool - available seasonally', 'Shared backyard – Fully fenced', 'Private living room']",67,1,1,1,1,1,1,1,1,1,0,0,1,Private room
SIXTH WARD,42.65405765037151,-73.76071299629517,255,Entire home/apt,Entire condo,2,1.0,1.0,329,7.73,92,4.89,4.83,4.88,326,t,"[""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Hot water"", ""Body soap"", ""Coffee maker: french press"", ""TV"", ""City skyline view"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Bathtub"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Hot water kettle"", ""Free dryer \u2013 In building"", ""Dedicated workspace"", ""Microwave"", ""Wine glasses"", ""Dining table"", ""Extra pillows and blankets"", ""Oven"", ""Portable fans"", ""Toaster"", ""Essentials"", ""Coffee"", ""Central heating"", ""First aid kit"", ""Conditioner"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free washer \u2013 In building"", ""Freezer"", ""Free street parking"", ""Lockbox"", ""Fire extinguisher"", ""Cleaning products"", ""Clothing storage: walk-in closet"", ""Stove""]",689719338468663432,"['Smoke alarm', 'Kitchen', 'Wifi', 'Hot water', 'Body soap', 'Coffee maker: french press', 'TV', 'City skyline view', 'Carbon monoxide alarm', 'Bed linens', 'Luggage dropoff allowed', 'Bathtub', 'Cooking basics', 'Baking sheet', 'Shampoo', 'Iron', 'Room-darkening shades', 'Hot water kettle', 'Free dryer – In building', 'Dedicated workspace', 'Microwave', 'Wine glasses', 'Dining table', 'Extra pillows and blankets', 'Oven', 'Portable fans', 'Toaster', 'Essentials', 'Coffee', 'Central heating', 'First aid kit', 'Conditioner', 'Window AC unit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Free washer – In building', 'Freezer', 'Free street parking', 'Lockbox', 'Fire extinguisher', 'Cleaning products', 'Clothing storage: walk-in closet', 'Stove']",45,1,1,1,1,1,1,0,0,0,1,0,1,Entire place
ELEVENTH WARD,42.6623,-73.777,62,Entire home/apt,Entire rental unit,2,1.0,1.0,104,2.72,1,4.81,4.74,4.43,45,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Private patio or balcony"", ""Wifi"", ""Free driveway parking on premises \u2013 1 space"", ""55 inch HDTV with Amazon Prime Video, premium cable"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Iron"", ""Hot water kettle"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Portable heater"", ""Coffee maker: Keurig coffee machine"", ""Dining table"", ""Stainless steel oven"", ""Smart lock"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Toaster"", ""Essentials"", ""Coffee"", ""Outdoor furniture"", ""Books and reading material"", ""Clothing storage: closet"", ""Central heating"", ""First aid kit"", ""Stainless steel electric stove"", ""Conditioner"", ""Free washer \u2013 In unit"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Self check-in"", ""Freezer"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Cleaning products"", ""Board games""]",692807914756117019,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Private patio or balcony', 'Wifi', 'Free driveway parking on premises – 1 space', '55 inch HDTV with Amazon Prime Video, premium cable', 'Hot water', 'Private entrance', 'Hair dryer', 'Body soap', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Baking sheet', 'Shampoo', 'Iron', 'Hot water kettle', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Portable heater', 'Coffee maker: Keurig coffee machine', 'Dining table', 'Stainless steel oven', 'Smart lock', 'Extra pillows and blankets', 'Long term stays allowed', 'Exterior security cameras on property', 'Toaster', 'Essentials', 'Coffee', 'Outdoor furniture', 'Books and reading material', 'Clothing storage: closet', 'Central heating', 'First aid kit', 'Stainless steel electric stove', 'Conditioner', 'Free washer – In unit', 'Window AC unit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Blender', 'Self check-in', 'Freezer', 'Fire extinguisher', 'Free dryer – In unit', 'Cleaning products', 'Board games']",51,1,1,1,1,1,1,1,0,0,0,0,1,Entire place
